Date,Rate
12/12/1958,3.07
12/19/1958,3.04
12/26/1958,2.97
1/2/1959,2.92
1/9/1959,2.98
1/16/1959,3.05
1/23/1959,3.23
1/30/1959,3.14
2/6/1959,3.12
2/13/1959,3.20
2/20/1959,3.07
2/27/1959,3.13
3/6/1959,3.14
3/13/1959,3.15
3/20/1959,3.09
3/27/1959,3.11
4/3/1959,3.20
4/10/1959,3.25
4/17/1959,3.36
4/24/1959,3.33
5/1/1959,3.17
5/8/1959,3.29
5/15/1959,3.35
5/22/1959,3.32
5/29/1959,3.36
6/5/1959,3.47
6/12/1959,3.51
6/19/1959,3.47
6/26/1959,3.59
7/3/1959,3.68
7/10/1959,3.89
7/17/1959,3.90
7/24/1959,3.81
7/31/1959,3.76
8/7/1959,3.68
8/14/1959,3.66
8/21/1959,3.84
8/28/1959,4.18
9/4/1959,4.48
9/11/1959,4.55
9/18/1959,4.82
9/25/1959,4.77
10/2/1959,4.80
10/9/1959,4.59
10/16/1959,4.65
10/23/1959,4.45
10/30/1959,4.37
11/6/1959,4.42
11/13/1959,4.50
11/20/1959,4.57
11/27/1959,4.62
12/4/1959,4.86
12/11/1959,4.81
12/18/1959,4.77
12/25/1959,4.90
1/1/1960,4.91
1/8/1960,5.07
1/15/1960,4.81
1/22/1960,4.60
1/29/1960,4.49
2/5/1960,4.42
2/12/1960,4.08
2/19/1960,4.30
2/26/1960,4.34
3/4/1960,4.27
3/11/1960,3.87
3/18/1960,3.57
3/25/1960,3.17
4/1/1960,3.21
4/8/1960,3.18
4/15/1960,3.86
4/22/1960,3.73
4/29/1960,3.58
5/6/1960,3.41
5/13/1960,3.55
5/20/1960,3.77
5/27/1960,3.64
6/3/1960,3.18
6/10/1960,2.80
6/17/1960,2.52
6/24/1960,2.76
7/1/1960,2.64
7/8/1960,2.85
7/15/1960,2.87
7/22/1960,2.62
7/29/1960,2.56
8/5/1960,2.39
8/12/1960,2.48
8/19/1960,2.66
8/26/1960,2.70
9/2/1960,2.82
9/9/1960,2.83
9/16/1960,2.87
9/23/1960,2.80
9/30/1960,2.82
10/7/1960,2.88
10/14/1960,2.88
10/21/1960,2.71
10/28/1960,2.53
11/4/1960,2.50
11/11/1960,2.59
11/18/1960,2.75
11/25/1960,2.71
12/2/1960,2.70
12/9/1960,2.62
12/16/1960,2.50
12/23/1960,2.42
12/30/1960,2.38
1/6/1961,2.49
1/13/1961,2.51
1/20/1961,2.46
1/27/1961,2.42
2/3/1961,2.49
2/10/1961,2.55
2/17/1961,2.59
2/24/1961,2.68
3/3/1961,2.75
3/10/1961,2.56
3/17/1961,2.47
3/24/1961,2.45
3/31/1961,2.54
4/7/1961,2.58
4/14/1961,2.52
4/21/1961,2.41
4/28/1961,2.35
5/5/1961,2.38
5/12/1961,2.40
5/19/1961,2.43
5/26/1961,2.53
6/2/1961,2.60
6/9/1961,2.64
6/16/1961,2.50
6/23/1961,2.50
6/30/1961,2.45
7/7/1961,2.49
7/14/1961,2.46
7/21/1961,2.39
7/28/1961,2.46
8/4/1961,2.51
8/11/1961,2.64
8/18/1961,2.78
8/25/1961,2.71
9/1/1961,2.65
9/8/1961,2.67
9/15/1961,2.68
9/22/1961,2.69
9/29/1961,2.69
10/6/1961,2.64
10/13/1961,2.67
10/20/1961,2.68
10/27/1961,2.67
11/3/1961,2.58
11/10/1961,2.61
11/17/1961,2.74
11/24/1961,2.73
12/1/1961,2.78
12/8/1961,2.88
12/15/1961,2.89
12/22/1961,2.86
12/29/1961,2.90
1/5/1962,2.97
1/12/1962,3.02
1/19/1962,2.90
1/26/1962,2.89
2/2/1962,2.92
2/9/1962,2.92
2/16/1962,3.00
2/23/1962,2.93
3/2/1962,2.87
3/9/1962,2.88
3/16/1962,2.91
3/23/1962,2.84
3/30/1962,2.86
4/6/1962,2.82
4/13/1962,2.84
4/20/1962,2.82
4/27/1962,2.83
5/4/1962,2.83
5/11/1962,2.77
