Rate,MonthNumber,Month
0.2,1,January
0.3,1,January
0.3,1,January
0.5,1,January
1.8,1,January
2.6,1,January
2.6,1,January
2.6,1,January
2.9,1,January
3.1,1,January
3.1,1,January
3.7,1,January
3.9,1,January
4.3,1,January
4.3,1,January
4.5,1,January
4.7,1,January
4.8,1,January
4.9,1,January
4.9,1,January
5.1,1,January
5.3,1,January
5.3,1,January
5.5,1,January
6.1,1,January
6.2,1,January
7,1,January
7.7,1,January
9.6,1,January
11.9,1,January
12.3,1,January
0.1,7,July
0.3,7,July
1.1,7,July
1.6,7,July
1.9,7,July
2.5,7,July
4.5,7,July
4.9,7,July
5,7,July
5.4,7,July
5.4,7,July
5.4,7,July
5.7,7,July
5.7,7,July
5.9,7,July
6,7,July
6,7,July
6.4,7,July
6.5,7,July
7,7,July
7.1,7,July
7.1,7,July
7.2,7,July
7.4,7,July
7.5,7,July
7.6,7,July
7.6,7,July
7.7,7,July
7.7,7,July
8,7,July
12.1,7,July
