Year,State,Employees,ProdEmployees
2016,Alabama,234803,176679.00
2016,Alaska,12178,10176.00
2016,Arizona,136946,82409.00
2016,Arkansas,145733,116757.00
2016,California,1119896,706390.00
2016,Colorado,121069,79052.00
2016,Connecticut,155062,87968.00
2016,Delaware,25434,17901.00
2016,Florida,270180,179959.00
2016,Georgia,351951,265733.00
2016,Hawaii,11513,7149.00
2016,Idaho,55774,41205.00
2016,Illinois,538183,370965.00
2016,Indiana,476417,357501.00
2016,Iowa,203835,147954.00
2016,Kansas,154684,110902.00
2016,Kentucky,230763,178593.00
2016,Louisiana,113914,80129.00
2016,Maine,49710,35983.00
2016,Maryland,91791,56258.00
2016,Massachusetts,223996,131020.00
2016,Michigan,555005,398946.00
2016,Minnesota,297770,197099.00
2016,Mississippi,130537,103082.00
2016,Missouri,245352,182878.00
2016,Montana,16697,11238.00
2016,Nebraska,92945,70717.00
2016,Nevada,41356,27759.00
2016,New Hampshire,65553,39464.00
2016,New Jersey,210291,139870.00
2016,New Mexico,21747,14700.00
2016,New York,395129,261216.00
2016,North Carolina,411050,303771.00
2016,North Dakota,22862,16912.00
2016,Ohio,642945,460781.00
2016,Oklahoma,121220,89068.00
2016,Oregon,160128,108945.00
2016,Pennsylvania,522221,362007.00
2016,Rhode Island,36081,23745.00
2016,South Carolina,213050,159797.00
2016,South Dakota,44094,32491.00
2016,Tennessee,308966,228500.00
2016,Texas,725255,493691.00
2016,Utah,114500,75761.00
2016,Vermont,27420,18641.00
2016,Virginia,222824,156906.00
2016,Washington,253462,165540.00
2016,West Virginia,44913,31981.00
2016,Wisconsin,435922,310093.00
2016,Wyoming,8377,6066.00
