Country,GDPGrowth,GDPPerCapita,Trade Balance,Population(millions)
United Kingdom,0.018,39900.00,-0.044,64.8
New Zealand,0.036,39400.00,-0.028,4.5
Netherlands,0.022,45300.00,0.085,17.1
Sweden,0.032,51600.00,0.045,10
Canada,0.015,42200.00,-0.033,35.6
Hong Kong,0.020,43700.00,0.046,7.2
Denmark,0.017,53400.00,0.079,5.6
Ireland,0.051,61600.00,0.033,5
Singapore,0.020,53000.00,0.190,5.9
Switzerland,0.014,78800.00,0.105,8.2
Australia,0.025,49900.00,-0.026,23.2
United States,0.015,57500.00,-0.024,326.6
Germany,0.019,41900.00,0.083,80.6
Finland,0.019,43100.00,-0.011,5.5
Norway,0.011,70800.00,0.050,5.3
Taiwan,0.015,22500.00,0.140,23.5
Belgium,0.012,41100.00,-0.004,11.5
Austria,0.015,44200.00,0.017,8.8
South Korea,0.028,27500.00,0.070,51.2
Spain,0.032,26500.00,0.019,49
Japan,0.010,38900.00,0.038,126.5
France,0.012,36900.00,-0.010,67.1
Israel,0.040,37300.00,0.036,8.3
Portugal,0.014,19800.00,0.007,10.8
Luxembourg,0.042,102800.00,0.047,0.6
Iceland,0.072,60000.00,0.079,0.3
Estonia,0.021,17600.00,0.019,1.3
Czech Republic,0.026,18300.00,0.011,10.7
Italy,0.009,30500.00,0.026,62.1
Lithuania,0.023,14900.00,-0.009,2.8
United Arab Emirates,0.030,37600.00,0.024,6.1
Slovenia,0.031,21300.00,0.052,2
Chile,0.016,13800.00,-0.014,17.8
Poland,0.026,12400.00,-0.002,38.5
Malaysia,0.042,9500.00,0.024,31.4
Latvia,0.020,14100.00,0.015,1.9
Cyprus,0.028,23300.00,-0.053,1.2
Malta,0.055,25100.00,0.079,0.4
Slovakia,0.033,16500.00,-0.007,5.4
Qatar,0.022,59300.00,-0.049,2.3
Mauritius,0.039,9600.00,-0.044,1.4
Hungary,0.020,12700.00,0.055,9.9
Romania,0.048,9500.00,-0.023,21.5
Greece,0.000,18100.00,-0.006,10.8
Costa Rica,0.043,11800.00,-0.032,4.9
Bulgaria,0.034,7400.00,0.042,7.1
Oman,0.030,15000.00,-0.186,3.4
South Africa,0.003,5300.00,-0.033,54.8
Thailand,0.032,5900.00,0.115,68.4
Saudi Arabia,0.017,20000.00,-0.043,28.6
Croatia,0.030,12100.00,0.026,4.3
Georgia,0.027,3900.00,-0.133,4.9
Bahrain,0.030,22400.00,-0.047,1.4
Uruguay,0.015,15200.00,-0.001,3.4
Morocco,0.012,2800.00,-0.044,34
Turkey,0.032,10800.00,-0.038,80.8
Mexico,0.023,8200.00,-0.022,124.6
Russia,-0.002,8700.00,0.020,142.3
Indonesia,0.050,3600.00,-0.018,260.6
Peru,0.040,6000.00,-0.027,31
Colombia,0.020,5800.00,-0.043,47.7
India,0.071,1700.00,-0.007,"1,281.90"
Macedonia,0.024,5200.00,-0.031,2.1
Panama,0.049,13700.00,-0.057,3.8
Kazakhstan,0.011,7500.00,-0.064,18.6
China,0.067,8100.00,0.017,"1,379.30"
Jordan,0.020,4100.00,-0.093,10.2
Montenegro,0.025,6700.00,-0.189,0.6
Serbia,0.028,5300.00,-0.040,7.1
Azerbaijan,-0.031,3900.00,-0.036,10
Albania,0.034,4100.00,-0.076,3
Jamaica,0.013,4900.00,-0.022,3
Kuwait,0.025,38600.00,-0.045,2.9
Brazil,-0.036,8600.00,-0.013,207.4
Trinidad and Tobago,-0.054,15400.00,-0.113,1.2
Botswana,0.043,6800.00,0.117,2.2
Sri Lanka,0.044,3800.00,-0.024,22.4
Vietnam,0.062,2200.00,0.041,96.2
Rwanda,0.059,700.00,-0.144,11.9
Ukraine,0.023,2200.00,-0.041,44
Argentina,-0.022,12400.00,-0.027,44.3
Seychelles,0.045,15100.00,-0.184,0.1
Philippines,0.069,3000.00,0.002,104.3
Mongolia,0.010,3700.00,-0.063,3.1
Ghana,0.035,1500.00,-0.067,27.5
Namibia,0.011,4100.00,-0.140,2.5
Moldova,0.043,1900.00,-0.038,3.5
Armenia,0.002,3600.00,-0.023,3
Senegal,0.067,1000.00,-0.053,14.7
Kenya,0.058,1500.00,-0.052,47.6
El Salvador,0.024,4200.00,-0.020,6.2
Dominican Republic,0.066,6700.00,-0.015,10.7
Guatemala,0.031,4100.00,0.010,15.5
Zambia,0.034,1200.00,-0.044,16
Tunisia,0.010,3700.00,-0.090,11.4
Bosnia and Herzegovina,0.020,4700.00,-0.045,3.9
Lebanon,0.010,7900.00,-0.186,6.2
Uzbekistan,0.078,2100.00,0.007,29.7
Iran,0.125,4900.00,0.041,82
Egypt,0.043,3500.00,-0.060,97
Pakistan,0.045,1500.00,-0.017,204.9
Bhutan,0.062,2800.00,-0.291,0.8
Ecuador,-0.015,6000.00,0.014,16.3
Uganda,0.023,600.00,-0.043,39.6
Benin,0.040,800.00,-0.072,11
Papua New Guinea,0.024,3000.00,0.201,6.9
Tajikistan,0.069,800.00,-0.038,8.5
Nepal,0.004,700.00,0.063,29.4
Burkina Faso,0.059,600.00,-0.068,20.1
Belize,-0.008,4800.00,-0.094,0.4
Paraguay,0.041,4100.00,0.017,6.9
Guyana,0.033,4500.00,0.004,0.7
Tanzania,0.070,900.00,-0.056,54
Nigeria,-0.016,2200.00,0.007,190.6
Honduras,0.036,2400.00,-0.038,9
Bangladesh,0.072,1400.00,0.006,157.8
Niger,0.050,400.00,-0.155,19.2
Cambodia,0.070,1300.00,-0.088,16.2
Madagascar,0.042,400.00,0.008,25.1
Timor-Leste,0.050,2100.00,-0.193,1.3
Kyrgyzstan,0.038,1100.00,-0.097,5.8
Algeria,0.033,3800.00,-0.165,41
Lesotho,0.024,1000.00,-0.077,2
Mali,0.058,800.00,-0.071,17.9
Mozambique,0.038,400.00,-0.382,26.6
Swaziland,0.000,2800.00,0.007,1.5
Angola,-0.007,3100.00,-0.051,29.3
Gabon,0.021,7200.00,-0.102,1.8
Sierra Leone,0.061,500.00,-0.197,6.2
Myanmar,0.061,1300.00,-0.013,55.1
Cameroon,0.047,1000.00,-0.036,25
Nicaragua,0.047,2200.00,-0.086,6
Suriname,-0.105,6500.00,-0.028,0.6
Malawi,0.023,300.00,-0.135,19.2
Bolivia,0.043,3100.00,-0.057,11.1
Ethiopia,0.080,700.00,-0.099,105.4
Liberia,-0.016,500.00,-0.248,4.7
Laos,0.070,2400.00,-0.106,7.1
Democratic Republic of the Congo,0.024,400.00,-0.034,83.3
Mauritania,0.017,1100.00,-0.150,3.8
Togo,0.050,600.00,-0.097,8
Venezuela,-0.165,7600.00,-0.016,31.3
Zimbabwe,0.007,1000.00,-0.041,13.8
Burundi,-0.010,300.00,-0.131,11.5
Guinea,0.066,500.00,-0.319,12.4
Yemen,-0.098,1000.00,-0.056,28
Libya,-0.030,3100.00,-0.224,6.7
Afghanistan,0.024,600.00,0.071,34.1
Haiti,0.014,700.00,-0.009,10.6
Gambia,0.022,500.00,-0.089,2.1
Chad,-0.064,700.00,-0.092,12.1
