BEER,Brewery,Alcohol(ABV),CaloriesPer12oz,Carbohydrates
American Amber Lager,Straub Brewery,0.041,136,10.5
American Lager,Straub Brewery,0.041,132,10.5
American Light,Straub Brewery,0.032,96,7.6
Anchor Porter,Anchor,0.056,209,
Anchor Steam,Anchor,0.049,153,16.0
Anheuser Busch Natural Light,Anheuser Busch,0.042,95,3.2
Anheuser Busch Natural Ice,Anheuser Busch,0.059,157,8.9
Aspen Edge,Adolph Coors,0.041,94,2.6
Bard's Gold (Gluten-Free),Bard's Tale Beer Co,0.046,155,14.2
Big Sky I.P.A.,Big Sky Brewing,0.062,195,
Big Sky Moose Drool Brown Ale,Big Sky Brewing,0.052,177,15.6
Big Sky Powder Hound (seasonal),Big Sky Brewing,0.062,195,
Big Sky Scape Goat Pale Ale,Big Sky Brewing,0.047,163,13.9
Big Sky Summer Honey Ale (seasonal),Big Sky Brewing,0.047,154,11.6
Big Sky Trout Slayer Ale,Big Sky Brewing,0.047,163,13.9
Blatz Beer,Blatz,0.048,153,12.5
Blue Moon,Adolph Coors,0.054,171,13.7
Breckenridge Brown Ale,Breckenridge Brewery,0.056,196,21.9
Breckenridge Red Ale,Breckenridge Brewery,0.055,193,21.8
Bud Dry,Budweiser,0.050,130,7.8
Bud Ice,Budweiser,0.055,123,8.9
Bud Ice Light,Budweiser,0.050,115,7.5
Bud Light,Budweiser,0.042,110,6.6
Bud Light Lime,Budweiser,0.042,116,8.0
Bud Light Platinum,Budweiser,0.060,137,4.4
Budweiser,Budweiser,0.050,145,10.6
Budweiser Black Crown,Budweiser,0.060,146,10.0
Budweiser Select,Budweiser,0.043,99,3.1
Budweiser Select 55,Budweiser,0.024,55,1.9
Busch Beer,Anheuser Busch,0.046,133,10.2
Busch Ice,Anheuser Busch,0.059,169,12.5
Busch Light,Anheuser Busch,0.041,95,3.2
Carling Black Label,G. Heileman,0.043,138,12.5
Colt 45 Malt Liquor,G. Heileman,0.061,174,11.1
Coors,MillerCoors,0.049,149,12.2
Coors Light,MillerCoors,0.042,104,5.3
Deschutes Twilight Summer Ale,Deschutes Brewery,0.050,162,9.6
Deschutes Chainbreaker White IPA,Deschutes Brewery,0.056,180,10.8
Deschutes Pinedrops IPA,Deschutes Brewery,0.065,190,11.0
Extra Gold Lager,MillerCoors,0.050,152,12.5
Flying Dog Dog Schwarz,Flying Dog Brewery,0.078,222,14.3
Flying Dog Doggie Style,Flying Dog Brewery,0.047,158,11.4
Flying Dog DogtoberFest,Flying Dog Brewery,0.056,165,12.3
Flying Dog Double Dog,Flying Dog Brewery,0.115,313,16.6
Flying Dog Garde Dog,Flying Dog Brewery,0.055,150,9.3
Flying Dog Gonzo,Flying Dog Brewery,0.092,271,18.9
Flying Dog Horn Dog,Flying Dog Brewery,0.102,314,21.5
Flying Dog In Heat Wheat,Flying Dog Brewery,0.047,138,10.4
Flying Dog K-9 Cruiser,Flying Dog Brewery,0.074,197,10.6
Flying Dog Kerberos Tripel,Flying Dog Brewery,0.083,238,8.6
Flying Dog Old Scratch Amber Ale,Flying Dog Brewery,0.055,154,10.2
Flying Dog Raging Bitch,Flying Dog Brewery,0.083,221,11.6
Flying Dog Road Dog,Flying Dog Brewery,0.060,163,9.9
Flying Dog Snake Dog IPA,Flying Dog Brewery,0.071,188,10.0
Flying Dog Tire Bite Golden Ale,Flying Dog Brewery,0.051,129,6.2
Flying Dog Wild Dog: Coffee Stout,Flying Dog Brewery,0.099,288,20.2
Flying Dog Woody Creek White,Flying Dog Brewery,0.048,131,8.0
Genesee Beer,High Falls Brewing,0.045,148,13.5
Genesee Cream Ale,High Falls Brewing,0.051,162,15.0
Genesee Ice,High Falls Brewing,0.059,156,14.5
Genesee Red,High Falls Brewing,0.049,148,14.0
George Killian's Irish Red,MillerCoors,0.050,162,14.8
Icehouse,MillerCoors,0.055,132,8.7
Icehouse 5.0,MillerCoors,0.055,149,9.8
Icehouse Light,MillerCoors,0.041,103,5.5
Hamm's Beer,MillerCoors,0.047,144,12.1
Hamm's Golden Draft,MillerCoors,0.047,144,12.1
Hamm's Special Light,MillerCoors,0.039,110,8.3
Keystone Premium,Adolph Coors,0.044,111,5.8
Keystone Light,Adolph Coors,0.041,103,5.0
Keystone Ice,Adolph Coors,0.059,142,5.9
Leinenkugel Honey Weiss,Leinenkugel,0.049,149,12.0
Leinenkugel Northwoods Lager,Leinenkugel,0.049,163,15.3
Leinenkugel Original,Leinenkugel,0.047,152,13.9
Leinenkugel Creamy Dark,Leinenkugel,0.049,170,16.8
Leinenkugel Red,Leinenkugel,0.049,166,16.2
Leinenkugel Sunset Wheat,Leinenkugel,0.049,165,16.0
Leinenkugel Light,Leinenkugel,0.042,105,5.7
Leinenkugel Amber Light,Leinenkugel,0.041,110,7.4
Lowenbrau Dark,,0.050,160,
Lowenbrau Special Beer,,0.052,160,
Magnum Malt Liquor,MillerCoors,0.056,157,11.2
Michael Shea's,High Falls Brewing,0.046,145,13.0
Michelob Amber Boch,Anheuser Busch,0.052,166,15.0
Michelob Beer,Anheuser Busch,0.050,155,13.3
Michelob Golden Draft,Anheuser Busch,0.047,152,14.1
Michelob Golden Draft Light,Anheuser Busch,0.041,110,7.0
Michelob Honey Lager,Anheuser Busch,0.049,175,17.9
Michelob Light,Anheuser Busch,0.043,113,6.7
Michelob Ultra,Anheuser Busch,0.041,95,2.6
Mickey's Fine Malt Liquor,MillerCoors,0.056,157,11.2
Mickey's Ice,MillerCoors,0.058,157,11.8
Miller Chill,MillerCoors,0.042,110,6.5
Miller Genuine Draft,MillerCoors,0.047,143,13.1
Miller Genuine Draft Light,MillerCoors,0.042,110,7.0
"Miller Genuine Draft ""64""",MillerCoors,0.028,64,2.4
Miller High Life,MillerCoors,0.047,143,13.1
Miller High Life Light,MillerCoors,0.042,110,7.0
Miller Lite,MillerCoors,0.042,96,3.2
Milwaukee's Best,MillerCoors,0.043,128,11.4
Miller Lite Brewers Collection Amber,MillerCoors,0.042,110,6.2
Miller Lite Brewers Collection Blonde,MillerCoors,0.042,110,6.2
Miller Lite Brewers Collection Wheat,MillerCoors,0.042,110,6.2
Milwaukee's Best Premium,MillerCoors,0.043,128,11.4
Milwaukee's Best Light,MillerCoors,0.042,98,3.5
Milwaukee's Best Ice,MillerCoors,0.059,144,7.3
